stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station
3119,,"Pērnavas iela",,56.96559,24.14934,https://saraksti.rigassatiksme.lv,,
3133,,"Pērnavas iela",,56.96499,24.14873,https://saraksti.rigassatiksme.lv,,
3120,,"Sporta nams ""Daugava""",,56.96280,24.14438,https://saraksti.rigassatiksme.lv,,
3132,,"Sporta nams ""Daugava""",,56.96258,24.14398,https://saraksti.rigassatiksme.lv,,
3121,,"Tallinas iela",,56.96098,24.14075,https://saraksti.rigassatiksme.lv,,
3131,,"Tallinas iela",,56.96079,24.14045,https://saraksti.rigassatiksme.lv,,
3063,,"Ausekļa iela",,56.95742,24.10083,https://saraksti.rigassatiksme.lv,,
3097,,"Kronvalda bulvāris",,56.95771,24.10053,https://saraksti.rigassatiksme.lv,,
3062,,"Nacionālais teātris",,56.95375,24.10419,https://saraksti.rigassatiksme.lv,,
3098,,"Nacionālais teātris",,56.95327,24.10458,https://saraksti.rigassatiksme.lv,,
3230,,"Mēness iela",,56.96898,24.13594,https://saraksti.rigassatiksme.lv,,
3223,,"Tallinas iela",,56.96605,24.13359,https://saraksti.rigassatiksme.lv,,
3095,,"Eksporta iela",,56.96853,24.09827,https://saraksti.rigassatiksme.lv,,
3066,,"Katrīnas iela",,56.96819,24.10072,https://saraksti.rigassatiksme.lv,,
3094,,"Katrīnas iela",,56.96809,24.10150,https://saraksti.rigassatiksme.lv,,
3165,,"Prāgas iela",,56.94439,24.11512,https://saraksti.rigassatiksme.lv,,
3126,,"Stacijas laukums",,56.94765,24.11636,https://saraksti.rigassatiksme.lv,,
3058,,"Slokas iela",,56.96052,24.06023,https://saraksti.rigassatiksme.lv,,
3037,,"Botāniskais dārzs/Rīgas Stradiņa universitāte",,56.95127,24.05369,https://saraksti.rigassatiksme.lv,,
3048,,"Botāniskais dārzs/Rīgas Stradiņa universitāte",,56.95122,24.05279,https://saraksti.rigassatiksme.lv,,
3038,,"Baldones iela",,56.95066,24.06659,https://saraksti.rigassatiksme.lv,,
3047,,"Baldones iela",,56.95076,24.06559,https://saraksti.rigassatiksme.lv,,
3060,,"Dārza iela",,56.95342,24.06280,https://saraksti.rigassatiksme.lv,,
3101,,"Dārza iela",,56.95313,24.06285,https://saraksti.rigassatiksme.lv,,
3059,,"Eiženijas iela",,56.95664,24.06248,https://saraksti.rigassatiksme.lv,,
3057,,"Buļļu iela",,56.96326,24.06178,https://saraksti.rigassatiksme.lv,,
3104,,"Buļļu iela",,56.96290,24.06137,https://saraksti.rigassatiksme.lv,,
3056,,"Bēnes iela",,56.96488,24.06450,https://saraksti.rigassatiksme.lv,,
3055,,"Iļģuciems",,56.96499,24.06939,https://saraksti.rigassatiksme.lv,,
3105,,"Lilijas iela",,56.96475,24.06360,https://saraksti.rigassatiksme.lv,,
3102,,"Eiženijas iela",,56.95724,24.06199,https://saraksti.rigassatiksme.lv,,
3103,,"Saldus iela",,56.95926,24.06019,https://saraksti.rigassatiksme.lv,,
3033,,"Kleistu iela",,56.95985,24.02042,https://saraksti.rigassatiksme.lv,,
3052,,"Kleistu iela",,56.95998,24.02001,https://saraksti.rigassatiksme.lv,,
3034,,"Imantas iela",,56.95758,24.02675,https://saraksti.rigassatiksme.lv,,
3051,,"Imantas iela",,56.95760,24.02623,https://saraksti.rigassatiksme.lv,,
3032,,"Anniņmuižas bulvāris",,56.96094,24.01415,https://saraksti.rigassatiksme.lv,,
3053,,"Dammes iela",,56.96114,24.01394,https://saraksti.rigassatiksme.lv,,
3031,,"Imanta",,56.96615,24.00822,https://saraksti.rigassatiksme.lv,,
3054,,"Imanta",,56.96579,24.00886,https://saraksti.rigassatiksme.lv,,
3050,,"Bebru iela",,56.95687,24.03487,https://saraksti.rigassatiksme.lv,,
3036,,"Jūrmalas gatve",,56.95252,24.03480,https://saraksti.rigassatiksme.lv,,
3035,,"Kurzemes prospekts",,56.95661,24.03475,https://saraksti.rigassatiksme.lv,,
3049,,"Kurzemes prospekts",,56.95278,24.03502,https://saraksti.rigassatiksme.lv,,
3025,,"Jaunsaules iela",,56.95512,24.04559,https://saraksti.rigassatiksme.lv,,
3027,,"Jaunsaules iela",,56.95483,24.04556,https://saraksti.rigassatiksme.lv,,
3024,,"Jūrmalas gatve",,56.95106,24.04605,https://saraksti.rigassatiksme.lv,,
3028,,"Jūrmalas gatve",,56.95199,24.04580,https://saraksti.rigassatiksme.lv,,
3026,,"Tapešu iela",,56.95768,24.04643,https://saraksti.rigassatiksme.lv,,
5217,,"Mežciems",,56.89278,24.01376,https://saraksti.rigassatiksme.lv,,
5216,,"Mežciems",,56.89284,24.01453,https://saraksti.rigassatiksme.lv,,
5515,,"Pīlādžu iela",,56.87677,23.92948,https://saraksti.rigassatiksme.lv,,
3080,,"Mīlgrāvis",,57.01711,24.12302,https://saraksti.rigassatiksme.lv,,
3079,,"Daudersala",,57.01021,24.12509,https://saraksti.rigassatiksme.lv,,
3081,,"Daudersala",,57.00952,24.12540,https://saraksti.rigassatiksme.lv,,
3078,,"Gaujienas iela",,57.00624,24.12518,https://saraksti.rigassatiksme.lv,,
3082,,"Gaujienas iela",,57.00634,24.12516,https://saraksti.rigassatiksme.lv,,
3106,,"Jugla",,56.98973,24.24057,https://saraksti.rigassatiksme.lv,,
3146,,"Jugla",,56.98977,24.24152,https://saraksti.rigassatiksme.lv,,
3107,,"Mārkalnes iela",,56.98801,24.22874,https://saraksti.rigassatiksme.lv,,
3145,,"Mārkalnes iela",,56.98806,24.22943,https://saraksti.rigassatiksme.lv,,
3108,,"Tirzas iela",,56.98723,24.22210,https://saraksti.rigassatiksme.lv,,
3144,,"Tirzas iela",,56.98728,24.22280,https://saraksti.rigassatiksme.lv,,
3156,,"Atpūtas centrs ""Lido""",,56.92989,24.16335,https://saraksti.rigassatiksme.lv,,
3176,,"Atpūtas centrs ""Lido""",,56.92971,24.16346,https://saraksti.rigassatiksme.lv,,
3155,,"Krasta masīvs",,56.92556,24.16815,https://saraksti.rigassatiksme.lv,,
3177,,"Krasta masīvs",,56.92518,24.16841,https://saraksti.rigassatiksme.lv,,
1319,,"Rāmava",,56.89436,24.15491,https://saraksti.rigassatiksme.lv,,
1322,,"Rāmava",,56.89429,24.15271,https://saraksti.rigassatiksme.lv,,
1321,,"Kooperatīvs ""Ziedonis""",,56.89787,24.17290,https://saraksti.rigassatiksme.lv,,
1320,,"Dārziņi",,56.89547,24.17207,https://saraksti.rigassatiksme.lv,,
3151,,"Aglonas iela",,56.91220,24.17751,https://saraksti.rigassatiksme.lv,,
3181,,"Aglonas iela",,56.91234,24.17732,https://saraksti.rigassatiksme.lv,,
3154,,"Dienvidu tilts",,56.92139,24.17105,https://saraksti.rigassatiksme.lv,,
3178,,"Dienvidu tilts",,56.92102,24.17122,https://saraksti.rigassatiksme.lv,,
3148,,"Eglaines iela/Dole",,56.90644,24.18803,https://saraksti.rigassatiksme.lv,,
3184,,"Eglaines iela/Dole",,56.90657,24.18779,https://saraksti.rigassatiksme.lv,,
3153,,"Ķengaraga iela",,56.91826,24.17338,https://saraksti.rigassatiksme.lv,,
3179,,"Ķengaraga iela",,56.91809,24.17347,https://saraksti.rigassatiksme.lv,,
3149,,"Malnavas iela",,56.90864,24.18331,https://saraksti.rigassatiksme.lv,,
3183,,"Malnavas iela",,56.90844,24.18377,https://saraksti.rigassatiksme.lv,,
3152,,"Prūšu iela",,56.91475,24.17553,https://saraksti.rigassatiksme.lv,,
3180,,"Prūšu iela",,56.91509,24.17527,https://saraksti.rigassatiksme.lv,,
3150,,"Rušonu iela",,56.91013,24.17983,https://saraksti.rigassatiksme.lv,,
3182,,"Rušonu iela",,56.91030,24.17956,https://saraksti.rigassatiksme.lv,,
2137,,"Višķu iela",,56.89980,24.21582,https://saraksti.rigassatiksme.lv,,
0544,,"Krievupes iela",,57.00808,24.32820,https://saraksti.rigassatiksme.lv,,
0545,,"Krievupes iela",,57.00835,24.32820,https://saraksti.rigassatiksme.lv,,
5414,,"Mārupītes gatve",,56.90157,24.04943,https://saraksti.rigassatiksme.lv,,
3158,,"Aiviekstes iela",,56.93589,24.15598,https://saraksti.rigassatiksme.lv,,
3174,,"Balvu iela",,56.93659,24.15472,https://saraksti.rigassatiksme.lv,,
3164,,"Centrāltirgus",,56.94306,24.11275,https://saraksti.rigassatiksme.lv,,
3160,,"Daugavpils iela",,56.93872,24.14074,https://saraksti.rigassatiksme.lv,,
3172,,"Daugavpils iela",,56.93911,24.13963,https://saraksti.rigassatiksme.lv,,
3162,,"Elijas iela",,56.93988,24.12615,https://saraksti.rigassatiksme.lv,,
3170,,"Elijas iela",,56.93984,24.12742,https://saraksti.rigassatiksme.lv,,
3161,,"Katoļu iela",,56.93957,24.13544,https://saraksti.rigassatiksme.lv,,
3171,,"Katoļu iela",,56.93953,24.13551,https://saraksti.rigassatiksme.lv,,
3157,,"Lubānas iela",,56.93377,24.15953,https://saraksti.rigassatiksme.lv,,
3175,,"Lubānas iela",,56.93425,24.15868,https://saraksti.rigassatiksme.lv,,
3167,,"Maskavas iela",,56.94266,24.11422,https://saraksti.rigassatiksme.lv,,
3159,,"Mazā Kalna iela",,56.93787,24.14642,https://saraksti.rigassatiksme.lv,,
3173,,"Mazā Kalna iela",,56.93785,24.14596,https://saraksti.rigassatiksme.lv,,
3243,,"No 3.depo",,56.93384,24.15880,https://saraksti.rigassatiksme.lv,,
3163,,"Turgeņeva iela",,56.94163,24.11946,https://saraksti.rigassatiksme.lv,,
3168,,"Turgeņeva iela",,56.94130,24.12016,https://saraksti.rigassatiksme.lv,,
3212,,"Mežaparks / ZOO",,57.00556,24.15748,https://saraksti.rigassatiksme.lv,,
1154,,"Mežciema iela",,56.97302,24.23941,https://saraksti.rigassatiksme.lv,,
1158,,"Biķernieku iela",,56.96093,24.23116,https://saraksti.rigassatiksme.lv,,
3072,,"1.trolejbusu parks",,56.98733,24.12159,https://saraksti.rigassatiksme.lv,,
3088,,"1.trolejbusu parks",,56.98761,24.12163,https://saraksti.rigassatiksme.lv,,
3069,,"Bukultu iela",,56.97712,24.11400,https://saraksti.rigassatiksme.lv,,
3091,,"Bukultu iela",,56.97765,24.11440,https://saraksti.rigassatiksme.lv,,
3067,,"Ganību dambis",,56.96771,24.10535,https://saraksti.rigassatiksme.lv,,
3068,,"Lugažu iela",,56.97466,24.11203,https://saraksti.rigassatiksme.lv,,
3092,,"Lugažu iela",,56.97446,24.11184,https://saraksti.rigassatiksme.lv,,
3093,,"Pētersalas iela",,56.96782,24.10589,https://saraksti.rigassatiksme.lv,,
3071,,"Rāmuļu iela",,56.98339,24.11918,https://saraksti.rigassatiksme.lv,,
3089,,"Rāmuļu iela",,56.98356,24.11924,https://saraksti.rigassatiksme.lv,,
3070,,"Rankas iela",,56.97968,24.11612,https://saraksti.rigassatiksme.lv,,
3090,,"Rankas iela",,56.97946,24.11591,https://saraksti.rigassatiksme.lv,,
3251,,"Kultūru vidusskola",,56.97061,24.10872,https://saraksti.rigassatiksme.lv,,
3252,,"Kultūru vidusskola",,56.97037,24.10849,https://saraksti.rigassatiksme.lv,,
8071,,"Meistaru iela",,56.94293,23.90414,https://saraksti.rigassatiksme.lv,,
0357,,"Žīguru iela",,56.93693,24.22440,https://saraksti.rigassatiksme.lv,,
3086,,"Duntes iela",,56.99326,24.12306,https://saraksti.rigassatiksme.lv,,
3073,,"Rūpnīca ""RER""",,56.99017,24.12219,https://saraksti.rigassatiksme.lv,,
3087,,"Rūpnīca ""RER""",,56.99089,24.12210,https://saraksti.rigassatiksme.lv,,
3077,,"Aldaris",,57.00220,24.12368,https://saraksti.rigassatiksme.lv,,
3083,,"Aldaris",,57.00221,24.12368,https://saraksti.rigassatiksme.lv,,
2130,,"Meža prospekts",,56.99604,24.13189,https://saraksti.rigassatiksme.lv,,
3076,,"Allažu iela",,56.99845,24.12362,https://saraksti.rigassatiksme.lv,,
3084,,"Allažu iela",,56.99815,24.12350,https://saraksti.rigassatiksme.lv,,
3075,,"Sarkandaugavas iela",,56.99543,24.12592,https://saraksti.rigassatiksme.lv,,
3085,,"Tilta iela",,56.99510,24.12628,https://saraksti.rigassatiksme.lv,,
3074,,"Duntes iela",,56.99344,24.12329,https://saraksti.rigassatiksme.lv,,
1614,,"Saulīši",,56.92999,24.26235,https://saraksti.rigassatiksme.lv,,
1615,,"Cidoniju iela",,56.92609,24.25798,https://saraksti.rigassatiksme.lv,,
1616,,"Cidoniju iela",,56.92545,24.25875,https://saraksti.rigassatiksme.lv,,
1200,,"Ērgļu iela",,56.93412,24.24644,https://saraksti.rigassatiksme.lv,,
1201,,"Ērgļu iela",,56.93409,24.24627,https://saraksti.rigassatiksme.lv,,
1619,,"Ozolu iela",,56.93657,24.23926,https://saraksti.rigassatiksme.lv,,
1620,,"Ozolu iela",,56.93627,24.24011,https://saraksti.rigassatiksme.lv,,
1617,,"Strazdiņu iela",,56.92815,24.25491,https://saraksti.rigassatiksme.lv,,
1618,,"Strazdiņu iela",,56.92866,24.25404,https://saraksti.rigassatiksme.lv,,
3109,,"Meža skola",,56.98630,24.21433,https://saraksti.rigassatiksme.lv,,
3143,,"Meža skola",,56.98637,24.21506,https://saraksti.rigassatiksme.lv,,
3247,,"Meža skola",,56.98625,24.21517,https://saraksti.rigassatiksme.lv,,
3110,,"Sporta akadēmija",,56.98531,24.20763,https://saraksti.rigassatiksme.lv,,
3142,,"Sporta akadēmija",,56.98545,24.20834,https://saraksti.rigassatiksme.lv,,
1157,,"Sporta bāze ""Biķernieki""",,56.96499,24.23380,https://saraksti.rigassatiksme.lv,,
2019,,"Palmu iela",,56.97774,24.18125,https://saraksti.rigassatiksme.lv,,
3117,,"VEF",,56.97115,24.15993,https://saraksti.rigassatiksme.lv,,
3135,,"VEF",,56.97148,24.16104,https://saraksti.rigassatiksme.lv,,
3114,,"45.vidusskola",,56.97935,24.17670,https://saraksti.rigassatiksme.lv,,
3138,,"45.vidusskola",,56.97900,24.17552,https://saraksti.rigassatiksme.lv,,
3111,,"Alfa",,56.98433,24.20267,https://saraksti.rigassatiksme.lv,,
3141,,"Alfa",,56.98426,24.20218,https://saraksti.rigassatiksme.lv,,
3113,,"Džutas iela",,56.98150,24.18445,https://saraksti.rigassatiksme.lv,,
3139,,"Džutas iela",,56.98121,24.18345,https://saraksti.rigassatiksme.lv,,
3116,,"Gustava Zemgala gatve",,56.97365,24.16609,https://saraksti.rigassatiksme.lv,,
3136,,"Gustava Zemgala gatve",,56.97398,24.16667,https://saraksti.rigassatiksme.lv,,
3112,,"Krustabaznīcas iela",,56.98336,24.19456,https://saraksti.rigassatiksme.lv,,
3140,,"Krustabaznīcas iela",,56.98327,24.19414,https://saraksti.rigassatiksme.lv,,
3115,,"Lēdmanes iela",,56.97734,24.17206,https://saraksti.rigassatiksme.lv,,
3137,,"Lēdmanes iela",,56.97724,24.17186,https://saraksti.rigassatiksme.lv,,
1558,,"Tīraine",,56.88845,24.06243,https://saraksti.rigassatiksme.lv,,
3191,,"Viesītes iela",,56.91967,24.09788,https://saraksti.rigassatiksme.lv,,
3204,,"Viesītes iela",,56.92028,24.09732,https://saraksti.rigassatiksme.lv,,
3195,,"Torņakalna stacija",,56.93049,24.08704,https://saraksti.rigassatiksme.lv,,
